This is Ipopt version 3.14.16, running with linear solver MUMPS 5.6.2.

Number of nonzeros in equality constraint Jacobian...:     1567
Number of nonzeros in inequality constraint Jacobian.:     6735
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     1268
                     variables with only lower bounds:        0
                variables with lower and upper bounds:     1266
                     variables with only upper bounds:        0
Total number of equality constraints.................:      704
Total number of inequality constraints...............:      648
        inequality constraints with only lower bounds:       51
   inequality constraints with lower and upper bounds:      597
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  2.8681625e-03 2.01e+02 1.00e+00   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  2.8677775e-03 2.01e+02 7.67e+00  -4.2 6.86e+01    -  2.50e-05 2.17e-04h  1
   2  2.8677392e-03 2.01e+02 7.87e+00  -4.2 9.98e+00    -  5.75e-05 1.58e-04h  1
   3  2.8675324e-03 2.01e+02 8.45e+00  -4.2 7.97e+01    -  8.24e-04 1.90e-03h  1
   4  2.8672740e-03 2.00e+02 8.80e+00  -4.2 9.43e+01    -  1.17e-03 1.62e-03h  1
   5  2.8668494e-03 2.00e+02 9.84e+00  -4.2 1.07e+02    -  1.04e-03 2.12e-03h  1
   6  2.8664992e-03 1.99e+02 9.76e+00  -4.2 1.11e+02    -  2.10e-03 2.03e-03h  1
   7  2.8655781e-03 1.98e+02 1.39e+01  -4.2 1.08e+02    -  1.53e-03 5.84e-03h  1
   8  2.8644682e-03 1.97e+02 1.74e+01  -4.2 1.08e+02    -  1.86e-03 5.56e-03h  1
   9  2.8632201e-03 1.96e+02 1.89e+01  -4.2 1.05e+02    -  3.51e-03 5.10e-03h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  2.8618270e-03 1.95e+02 2.21e+01  -4.2 1.04e+02    -  2.21e-03 5.79e-03h  1
  11  2.8611948e-03 1.94e+02 1.99e+01  -4.2 9.75e+01    -  5.25e-03 2.90e-03h  1
  12  2.8578651e-03 1.92e+02 3.20e+01  -4.2 9.67e+01    -  3.04e-03 1.47e-02h  1
  13  2.8557115e-03 1.90e+02 3.25e+01  -4.2 9.59e+01    -  8.53e-03 9.15e-03h  1
  14  2.8507687e-03 1.86e+02 4.77e+01  -4.3 9.53e+01    -  8.26e-03 2.10e-02h  1
  15  2.8485896e-03 1.84e+02 5.73e+01  -4.3 9.30e+01    -  1.63e-03 1.02e-02h  1
  16  2.8480782e-03 1.83e+02 5.26e+01  -4.3 9.15e+01    -  6.94e-03 2.94e-03h  1
  17  2.8468589e-03 1.82e+02 6.07e+01  -4.3 9.15e+01    -  2.93e-04 8.02e-03h  1
  18  2.8466137e-03 1.81e+02 6.14e+01  -4.3 9.00e+01    -  1.27e-03 2.11e-03h  1
  19  2.8457384e-03 1.80e+02 6.56e+01  -4.3 9.06e+01    -  2.13e-03 6.45e-03h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  2.8456126e-03 1.80e+02 6.34e+01  -4.3 8.86e+01    -  3.93e-03 1.80e-03h  1
  21  2.8444140e-03 1.78e+02 7.37e+01  -4.3 9.04e+01    -  2.09e-04 1.15e-02h  1
  22  2.8443674e-03 1.78e+02 6.98e+01  -4.3 8.76e+01    -  5.12e-03 1.16e-03h  1
  23  2.8441237e-03 1.76e+02 7.65e+01  -4.3 8.77e+01    -  2.18e-03 1.02e-02h  1
  24  2.8440714e-03 1.75e+02 8.10e+01  -4.3 8.68e+01    -  5.77e-04 5.91e-03h  1
  25  2.8441326e-03 1.74e+02 8.31e+01  -4.3 8.70e+01    -  4.90e-03 7.65e-03h  1
  26  2.8443103e-03 1.72e+02 8.53e+01  -4.3 8.62e+01    -  4.51e-03 7.56e-03h  1
  27  2.8443964e-03 1.71e+02 8.61e+01  -4.3 8.53e+01    -  3.69e-03 5.07e-03h  1
  28  2.8443357e-03 1.71e+02 8.47e+01  -4.3 8.62e+01    -  3.35e-03 1.69e-03h  1
  29  2.8441010e-03 1.71e+02 8.23e+01  -4.3 8.67e+01    -  5.94e-03 3.06e-03h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  2.8434836e-03 1.70e+02 8.27e+01  -4.3 8.75e+01    -  3.10e-03 4.12e-03h  1
  31  2.8432715e-03 1.70e+02 8.13e+01  -4.3 8.83e+01    -  3.49e-03 1.24e-03h  1
  32  2.8414605e-03 1.68e+02 8.27e+01  -4.3 8.84e+01    -  6.22e-03 1.05e-02h  1
  33  2.8395089e-03 1.66e+02 7.94e+01  -4.3 8.78e+01    -  1.82e-02 1.38e-02h  1
  34  2.8394659e-03 1.62e+02 7.87e+01  -4.3 8.62e+01    -  1.68e-02 1.86e-02h  1
  35  2.8409467e-03 1.58e+02 7.87e+01  -4.3 8.50e+01    -  2.05e-02 2.56e-02h  1
  36  2.8411156e-03 1.58e+02 7.64e+01  -4.3 8.43e+01    -  1.10e-02 1.09e-03h  1
  37  2.8453492e-03 1.55e+02 7.92e+01  -4.3 8.44e+01    -  1.37e-04 2.23e-02h  1
  38  2.8475994e-03 1.53e+02 7.52e+01  -4.3 8.29e+01    -  2.49e-02 1.09e-02h  1
  39  2.8488993e-03 1.52e+02 7.48e+01  -4.3 8.36e+01    -  5.26e-03 5.15e-03h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40  2.8492760e-03 1.52e+02 7.47e+01  -4.3 8.53e+01    -  8.13e-04 1.01e-03h  1
  41  2.8497119e-03 1.52e+02 7.43e+01  -4.3 9.02e+01    -  1.41e-03 6.18e-04h  1
  42  2.8491966e-03 1.52e+02 7.02e+01  -0.4 5.65e+02    -  2.34e-04 7.24e-05f  1
  43  2.8492430e-03 1.52e+02 4.77e+01  -4.3 7.50e+01    -  6.63e-04 7.28e-05h  1
  44  2.8492671e-03 1.52e+02 1.01e+02  -4.3 8.96e+01    -  3.98e-03 4.28e-05h  1
  45  2.8500314e-03 1.52e+02 2.91e+02  -4.3 9.37e+01    -  5.34e-03 9.59e-04h  1
  46  2.8537736e-03 1.51e+02 1.87e+02  -4.3 9.32e+01    -  2.45e-03 4.81e-03h  1
  47  2.8547044e-03 1.51e+02 6.79e+02  -4.3 7.24e+01    -  2.37e-03 5.24e-04h  1
  48  2.8563194e-03 1.50e+02 7.29e+02  -4.3 9.44e+01    -  4.53e-03 3.36e-03h  1
  49  2.8594004e-03 1.50e+02 7.25e+02  -0.4 1.72e+02    -  7.05e-04 3.01e-04f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  2.8622399e-03 1.50e+02 6.32e+02  -4.3 9.55e+01    -  3.49e-03 5.57e-03h  1
  51  2.8660100e-03 1.49e+02 5.06e+02  -4.3 9.85e+01    -  1.82e-03 4.47e-03h  1
  52  2.8692857e-03 1.48e+02 5.65e+02  -4.3 9.80e+01    -  4.10e-03 2.76e-03h  1
  53  2.8715091e-03 1.48e+02 1.76e+03  -4.3 7.33e+01    -  4.53e-03 1.25e-03h  1
  54  2.8783908e-03 1.48e+02 1.60e+03  -0.4 1.05e+02    -  4.19e-04 1.36e-03f  1
  55  2.8815037e-03 1.48e+02 2.88e+03  -0.2 9.87e+01    -  6.26e-03 1.79e-03f  1
  56  2.8825739e-03 1.47e+02 6.39e+03  -4.3 7.43e+01    -  1.90e-02 3.25e-03h  1
  57  2.8986938e-03 1.46e+02 6.87e+03  -0.4 1.16e+02    -  1.65e-02 5.74e-03f  1
  58  2.9550749e-03 1.43e+02 2.11e+04  -0.5 1.15e+02    -  2.99e-01 2.59e-02f  1
  59  2.9468261e-03 1.36e+02 2.76e+04  -0.6 1.98e+02    -  1.36e-01 4.76e-02h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  2.9477490e-03 1.33e+02 5.07e+05   0.9 7.89e+01    -  8.18e-01 2.22e-02f  1
  61  3.0102520e-03 7.23e+01 3.19e+05   0.8 6.54e+01    -  3.33e-01 4.56e-01f  1
  62  2.7906132e-03 2.90e+01 1.55e+05   1.3 2.29e+02    -  4.71e-01 5.99e-01f  1
  63  2.8600524e-03 2.38e+01 7.27e+04   1.1 3.73e+02    -  7.23e-01 1.79e-01h  1
  64  3.0643038e-03 3.79e+00 7.61e+03   1.1 1.09e+02    -  1.00e+00 1.00e+00f  1
  65  3.0955010e-03 2.05e+00 2.47e+04   0.8 5.39e+01    -  1.00e+00 7.14e-01h  1
  66  3.6053653e-03 2.32e+00 5.26e+04   0.6 4.36e+01    -  1.00e+00 4.37e-01h  1
  67  3.9256278e-03 1.62e+00 5.79e+04   0.3 2.70e+01    -  1.00e+00 4.17e-01h  1
  68  4.4697155e-03 2.87e-01 4.03e+04   0.6 2.19e+01    -  8.53e-01 7.16e-01H  1
  69  4.5220574e-03 4.37e-02 1.50e+04  -0.0 1.67e+00    -  1.00e+00 8.49e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  4.6275566e-03 1.73e-02 2.84e+04  -0.3 2.04e+00    -  1.00e+00 8.01e-01h  1
  71  4.9139095e-03 2.15e-01 7.68e+04   0.2 1.16e+01    -  1.00e+00 5.40e-01f  1
  72  5.2261188e-03 7.10e-01 6.32e+04   0.1 2.14e+02    -  2.34e-01 2.02e-01f  2
  73  5.5038790e-03 1.13e+00 7.55e+04   0.1 5.54e+02    -  3.20e-01 9.37e-02f  3
  74  5.8301904e-03 1.38e+00 8.32e+04   0.1 6.28e+02    -  2.96e-01 8.57e-02f  3
  75  5.9695042e-03 1.36e+00 8.60e+04   0.1 4.92e+02    -  1.65e-01 4.60e-02h  4
  76  5.9409187e-03 1.36e-02 2.08e+03   0.1 1.44e+00    -  1.00e+00 1.00e+00h  1
  77  6.0225167e-03 1.01e-02 4.41e+03  -0.1 4.54e+00    -  1.00e+00 9.83e-01H  1
  78  6.0482680e-03 9.07e-03 1.29e+05  -0.3 4.55e+01    -  1.00e+00 9.98e-02h  3
  79  6.2619487e-03 3.12e-01 1.23e+05   0.5 8.42e+02    -  1.60e-01 6.99e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
